date,facility_id,units,cph,error_rate,hours_run
2026-03-09,chr-03,17953,130.8,2.2,60.4
2026-03-10,chr-03,22430,135.44,2.03,58.6
2026-03-11,chr-03,18824,129.57,2.54,56.9
2026-03-12,chr-03,18610,137.35,2.58,56.6
2026-03-13,chr-03,21242,136.79,3.16,58.0
2026-03-14,chr-03,21509,134.1,2.18,58.7
2026-03-16,chr-03,21772,124.99,2.81,53.7
2026-03-17,chr-03,21696,131.25,2.93,56.2
2026-03-18,chr-03,20749,129.69,2.53,57.1
2026-03-19,chr-03,21126,137.29,2.48,60.0
2026-03-20,chr-03,22367,134.12,2.32,58.2
2026-03-21,chr-03,20241,138.03,2.28,57.9
2026-03-23,chr-03,20064,130.61,1.77,57.2
2026-03-24,chr-03,18111,129.27,1.51,57.3
2026-03-25,chr-03,17878,135.2,2.77,59.3
2026-03-26,chr-03,20415,137.06,2.11,54.2
2026-03-27,chr-03,20933,133.14,2.67,59.1
2026-03-28,chr-03,24177,141.98,2.12,59.0
2026-03-30,chr-03,19553,138.44,1.93,59.2
2026-03-31,chr-03,19065,133.67,2.73,61.8
2026-04-01,chr-03,18877,133.36,2.97,59.0
2026-04-02,chr-03,19596,139.27,2.08,57.3
2026-04-03,chr-03,20540,145.67,2.37,58.3
2026-04-04,chr-03,21769,138.6,2.63,56.0
2026-04-06,chr-03,19990,125.61,3.05,56.2
2026-04-07,chr-03,21118,136.05,2.45,55.4
2026-04-08,chr-03,19802,126.48,2.65,56.0
2026-04-09,chr-03,21195,137.46,2.29,56.2
2026-04-10,chr-03,21087,136.24,2.48,54.1
2026-04-11,chr-03,19367,137.19,2.56,56.2
2026-04-13,chr-03,21129,129.9,1.79,55.2
2026-04-14,chr-03,18591,128.19,2.44,58.4
2026-04-15,chr-03,21015,134.47,3.7,57.3
2026-04-16,chr-03,21903,141.82,3.46,58.9
2026-04-17,chr-03,21293,138.52,3.66,54.5
2026-04-18,chr-03,19574,138.51,3.68,55.0
2026-04-20,chr-03,20813,135.88,2.79,56.2
2026-04-21,chr-03,20694,139.64,2.19,59.9
2026-04-22,chr-03,20724,132.11,4.03,54.9
2026-04-23,chr-03,21022,137.71,2.51,54.5
2026-04-24,chr-03,21373,136.44,3.55,55.1
2026-04-25,chr-03,20452,140.84,3.17,58.5
2026-04-27,chr-03,22409,130.95,1.5,56.6
2026-04-28,chr-03,20734,139.96,3.49,56.4
2026-04-29,chr-03,19271,132.02,2.86,58.0
2026-04-30,chr-03,16433,134.08,2.21,58.2
2026-05-01,chr-03,19639,139.37,2.48,57.4
2026-05-02,chr-03,17422,135.84,1.26,57.5
2026-05-04,chr-03,19345,132.7,1.82,57.7
2026-05-05,chr-03,19727,126.41,2.54,57.4
2026-05-06,chr-03,20058,132.37,2.7,50.9
2026-05-07,chr-03,19383,132.61,1.89,58.0
2026-05-08,chr-03,18354,135.63,2.46,58.4
2026-05-09,chr-03,20579,143.72,1.35,60.2
2026-05-11,chr-03,19421,132.39,3.04,54.9
2026-05-12,chr-03,20516,135.0,2.54,59.9
2026-05-13,chr-03,22032,134.5,1.94,57.1
2026-05-14,chr-03,20560,143.78,2.18,64.2
2026-05-15,chr-03,20966,136.51,2.01,57.7
2026-05-16,chr-03,19383,144.53,1.29,57.4
2026-05-18,chr-03,18669,134.12,2.66,54.9
