date,facility_id,units,cph,error_rate,hours_run
2026-04-01,atl-03,34400,90.87,1.32,32.6
2026-04-02,atl-03,40579,100.32,1.33,34.9
2026-04-03,atl-03,39483,94.67,1.12,33.5
2026-04-04,atl-03,38897,95.13,0.97,30.8
2026-04-06,atl-03,36060,91.45,1.16,32.3
2026-04-07,atl-03,37772,87.88,1.28,31.0
2026-04-08,atl-03,39939,90.42,1.25,30.8
2026-04-09,atl-03,38722,89.41,1.07,32.1
2026-04-10,atl-03,43880,91.12,1.28,33.2
2026-04-11,atl-03,38711,90.85,1.13,33.2
2026-04-13,atl-03,35860,90.67,1.02,31.7
2026-04-14,atl-03,38575,91.55,1.39,30.2
2026-04-15,atl-03,37723,93.11,1.46,33.8
2026-04-16,atl-03,44256,93.78,1.41,34.2
2026-04-17,atl-03,41895,93.91,1.2,32.0
2026-04-18,atl-03,36970,98.75,1.25,34.8
2026-04-20,atl-03,41277,91.88,1.51,31.0
2026-04-21,atl-03,33884,90.2,1.26,31.9
2026-04-22,atl-03,41026,94.18,1.3,33.8
2026-04-23,atl-03,35353,91.46,1.13,31.6
2026-04-24,atl-03,39869,95.95,1.92,30.2
2026-04-25,atl-03,39218,98.12,1.45,30.4
2026-04-27,atl-03,41720,90.55,1.26,32.5
2026-04-28,atl-03,35049,89.22,1.11,29.5
2026-04-29,atl-03,39238,93.45,1.0,31.0
2026-04-30,atl-03,46225,94.3,1.0,32.7
2026-05-01,atl-03,39494,89.19,1.32,33.7
2026-05-02,atl-03,46168,92.79,1.2,31.7
2026-05-04,atl-03,39489,92.05,1.33,33.9
2026-05-05,atl-03,37933,88.71,1.39,33.9
2026-05-06,atl-03,37460,94.56,1.02,29.8
2026-05-07,atl-03,46391,94.34,1.32,33.0
2026-05-08,atl-03,39711,91.21,1.67,29.8
2026-05-09,atl-03,43230,96.53,1.33,31.4
2026-05-11,atl-03,35645,87.04,1.25,31.9
2026-05-12,atl-03,39869,90.48,1.11,31.1
2026-05-13,atl-03,40886,93.63,1.33,30.5
2026-05-14,atl-03,40673,91.65,1.35,29.4
2026-05-15,atl-03,34320,94.38,1.17,30.3
2026-05-16,atl-03,37962,95.78,0.5,31.4
2026-05-18,atl-03,40461,86.05,1.41,33.0
