date,facility_id,units,cph,error_rate,hours_run
2026-03-25,ral-02,32761,88.56,1.43,28.9
2026-03-26,ral-02,37897,92.18,1.47,29.8
2026-03-27,ral-02,36855,90.86,0.91,31.0
2026-03-28,ral-02,32836,97.37,1.59,32.0
2026-03-30,ral-02,34122,85.11,1.29,27.2
2026-03-31,ral-02,35214,89.9,1.66,28.7
2026-04-01,ral-02,35071,88.63,1.43,26.9
2026-04-02,ral-02,35907,95.96,1.42,28.8
2026-04-03,ral-02,36056,88.16,1.53,29.7
2026-04-04,ral-02,33278,86.8,1.54,29.1
2026-04-06,ral-02,35381,86.95,1.48,31.7
2026-04-07,ral-02,30847,88.28,0.84,30.5
2026-04-08,ral-02,31564,89.05,1.55,29.9
2026-04-09,ral-02,32481,92.21,1.29,28.6
2026-04-10,ral-02,33264,88.89,1.45,30.0
2026-04-11,ral-02,36118,87.53,1.16,29.5
2026-04-13,ral-02,33926,92.58,1.13,29.3
2026-04-14,ral-02,39248,88.94,1.56,29.3
2026-04-15,ral-02,32363,94.11,1.88,30.1
2026-04-16,ral-02,32654,89.37,1.47,31.2
2026-04-17,ral-02,35553,92.03,1.69,28.9
2026-04-18,ral-02,32694,90.94,1.45,30.0
2026-04-20,ral-02,31513,74.67,1.27,31.4
2026-04-21,ral-02,36563,76.89,1.26,30.7
2026-04-22,ral-02,35974,79.19,1.4,28.2
2026-04-23,ral-02,36010,80.44,1.7,30.2
2026-04-24,ral-02,36069,79.39,1.27,29.7
2026-04-25,ral-02,33921,78.78,1.11,28.6
2026-04-27,ral-02,35558,72.64,1.66,32.0
2026-04-28,ral-02,31902,87.37,1.29,30.7
2026-04-29,ral-02,36020,87.27,1.63,31.5
2026-04-30,ral-02,36012,91.3,1.48,29.0
2026-05-01,ral-02,38150,93.93,1.37,27.0
2026-05-02,ral-02,35093,94.9,1.6,30.3
2026-05-04,ral-02,31604,87.85,1.2,29.1
2026-05-05,ral-02,36215,90.29,1.17,30.4
2026-05-06,ral-02,34754,88.9,1.8,31.2
2026-05-07,ral-02,37124,90.48,1.35,29.2
2026-05-08,ral-02,35965,94.1,1.16,28.8
2026-05-09,ral-02,37385,91.85,1.49,28.6
2026-05-11,ral-02,33869,88.9,1.57,28.5
2026-05-12,ral-02,32741,90.72,1.67,30.7
2026-05-13,ral-02,36066,91.52,1.31,30.7
2026-05-14,ral-02,36980,93.65,1.79,30.4
2026-05-15,ral-02,36474,95.33,1.26,30.9
2026-05-16,ral-02,36269,99.72,1.2,29.6
2026-05-18,ral-02,31536,84.66,1.59,28.6
