date,facility_id,units,cph,error_rate,hours_run
2026-04-04,atl-01,20538,146.01,1.78,55.9
2026-04-06,atl-01,21930,138.29,2.21,61.7
2026-04-07,atl-01,20219,138.09,2.03,55.0
2026-04-08,atl-01,23080,136.16,1.4,58.4
2026-04-09,atl-01,21888,143.76,2.04,60.1
2026-04-10,atl-01,24582,139.83,2.27,55.1
2026-04-11,atl-01,22894,149.64,1.69,59.1
2026-04-13,atl-01,20975,137.61,1.99,59.3
2026-04-14,atl-01,22703,140.12,1.76,56.5
2026-04-15,atl-01,21454,139.76,1.61,59.3
2026-04-16,atl-01,23827,145.04,2.04,59.8
2026-04-17,atl-01,22800,140.78,1.88,56.5
2026-04-18,atl-01,21108,148.37,1.72,57.8
2026-04-20,atl-01,19196,133.79,2.53,58.4
2026-04-21,atl-01,23264,140.18,2.2,57.7
2026-04-22,atl-01,20095,138.54,1.15,59.1
2026-04-23,atl-01,23161,142.83,2.04,58.2
2026-04-24,atl-01,24115,141.85,2.3,60.5
2026-04-25,atl-01,24561,149.42,1.97,58.4
2026-04-27,atl-01,23138,134.51,2.4,59.0
2026-04-28,atl-01,21599,140.41,1.63,56.0
2026-04-29,atl-01,20518,136.07,1.93,58.3
2026-04-30,atl-01,23578,148.39,2.23,57.6
2026-05-01,atl-01,21557,142.63,2.11,57.0
2026-05-02,atl-01,21512,148.64,2.47,57.9
2026-05-04,atl-01,20621,139.64,1.72,56.8
2026-05-05,atl-01,22119,142.1,2.48,58.3
2026-05-06,atl-01,19914,142.44,2.24,57.9
2026-05-07,atl-01,22163,142.75,1.75,59.8
2026-05-08,atl-01,22713,144.72,2.41,60.8
2026-05-09,atl-01,24548,151.13,1.88,58.7
2026-05-11,atl-01,21824,136.77,1.38,55.2
2026-05-12,atl-01,23560,134.4,2.03,54.9
2026-05-13,atl-01,18826,138.5,2.17,60.6
2026-05-14,atl-01,21676,143.84,1.4,55.0
2026-05-15,atl-01,22574,137.32,1.16,57.0
2026-05-16,atl-01,23936,149.69,2.21,56.9
2026-05-18,atl-01,22451,134.68,1.97,60.1
