date,facility_id,units,cph,error_rate,hours_run
2026-03-10,chr-05,11003,70.81,1.16,28.3
2026-03-11,chr-05,11045,75.96,0.64,26.5
2026-03-12,chr-05,12809,72.13,0.8,28.1
2026-03-13,chr-05,11048,74.12,1.2,27.3
2026-03-14,chr-05,11755,71.69,1.63,26.9
2026-03-16,chr-05,12435,67.42,1.44,26.2
2026-03-17,chr-05,12225,66.15,1.37,27.2
2026-03-18,chr-05,11689,72.23,1.12,28.2
2026-03-19,chr-05,12333,72.93,1.24,26.9
2026-03-20,chr-05,10942,73.6,0.84,27.1
2026-03-21,chr-05,11529,72.14,0.86,29.4
2026-03-23,chr-05,11392,70.69,1.05,28.4
2026-03-24,chr-05,11342,70.02,0.91,24.4
2026-03-25,chr-05,12954,73.73,1.01,27.6
2026-03-26,chr-05,10892,74.53,0.75,27.2
2026-03-27,chr-05,11670,71.6,1.06,29.3
2026-03-28,chr-05,11575,74.62,0.81,28.6
2026-03-30,chr-05,11370,69.63,0.73,26.4
2026-03-31,chr-05,11440,70.22,0.64,28.9
2026-04-01,chr-05,11052,72.23,0.64,28.3
2026-04-02,chr-05,12802,73.66,0.55,26.8
2026-04-03,chr-05,11444,73.72,0.96,27.7
2026-04-04,chr-05,11929,72.64,1.06,27.9
2026-04-06,chr-05,11497,70.32,0.98,26.9
2026-04-07,chr-05,10605,70.49,1.22,27.2
2026-04-08,chr-05,11167,70.88,1.08,26.2
2026-04-09,chr-05,10787,72.9,0.66,27.7
2026-04-10,chr-05,12737,75.04,0.86,29.0
2026-04-11,chr-05,13028,74.76,0.75,27.7
2026-04-13,chr-05,11298,71.41,0.63,27.6
2026-04-14,chr-05,12787,67.0,1.04,27.8
2026-04-15,chr-05,12143,69.19,0.79,28.4
2026-04-16,chr-05,11531,76.97,0.77,28.1
2026-04-17,chr-05,13762,75.19,0.43,30.3
2026-04-18,chr-05,10729,75.33,0.75,27.6
2026-04-20,chr-05,10199,68.26,0.83,28.9
2026-04-21,chr-05,11611,72.01,0.9,28.8
2026-04-22,chr-05,12258,71.09,0.96,28.1
2026-04-23,chr-05,13571,74.55,0.49,28.7
2026-04-24,chr-05,12201,74.06,1.07,29.6
2026-04-25,chr-05,12485,74.5,0.93,25.6
2026-04-27,chr-05,12736,69.16,1.0,28.2
2026-04-28,chr-05,11134,69.23,0.81,26.6
2026-04-29,chr-05,10955,70.4,0.94,29.9
2026-04-30,chr-05,10518,69.94,0.7,28.6
2026-05-01,chr-05,8869,75.89,0.83,27.5
2026-05-02,chr-05,12969,73.58,1.15,28.4
2026-05-04,chr-05,9140,69.18,0.87,29.2
2026-05-05,chr-05,10847,69.89,0.8,28.5
2026-05-06,chr-05,11344,71.8,1.02,28.1
2026-05-07,chr-05,11313,74.99,0.83,28.0
2026-05-08,chr-05,12211,75.52,0.97,27.5
2026-05-09,chr-05,11578,75.52,0.77,27.4
2026-05-11,chr-05,12088,69.68,0.96,29.1
2026-05-12,chr-05,11505,73.72,0.8,27.2
2026-05-13,chr-05,12467,71.86,0.97,27.5
2026-05-14,chr-05,12618,70.63,0.9,27.7
2026-05-15,chr-05,12940,75.67,0.92,29.3
2026-05-16,chr-05,12454,74.0,1.11,26.2
2026-05-18,chr-05,10585,68.88,0.91,30.3
