date,facility_id,headcount_total,headcount_new,headcount_shift1,headcount_shift2,headcount_shift3,inbound_units,order_mix_complex
2026-04-04,atl-03,222,9,122,99,1,42490,0.105
2026-04-06,atl-03,205,6,112,92,1,37816,0.033
2026-04-07,atl-03,217,11,119,97,1,42250,0.072
2026-04-08,atl-03,219,10,120,98,1,48681,0.1
2026-04-09,atl-03,227,9,124,102,1,43586,0.126
2026-04-10,atl-03,224,8,123,100,1,45123,0.105
2026-04-11,atl-03,224,7,123,100,1,38639,0.075
2026-04-13,atl-03,213,4,117,95,1,40250,0.06
2026-04-14,atl-03,215,12,118,96,1,40347,0.051
2026-04-15,atl-03,218,9,119,98,1,43291,0.108
2026-04-16,atl-03,211,6,116,94,1,41556,0.086
2026-04-17,atl-03,218,12,119,98,1,41709,0.055
2026-04-18,atl-03,217,15,119,97,1,49300,0.136
2026-04-20,atl-03,217,13,119,97,1,34584,0.066
2026-04-21,atl-03,213,12,117,95,1,41299,0.053
2026-04-22,atl-03,213,7,117,95,1,44792,0.074
2026-04-23,atl-03,209,8,114,94,1,32671,0.137
2026-04-24,atl-03,220,9,121,99,0,42428,0.115
2026-04-25,atl-03,230,11,126,103,1,45688,0.064
2026-04-27,atl-03,218,6,119,98,1,36164,0.108
2026-04-28,atl-03,218,6,119,98,1,42545,0.117
2026-04-29,atl-03,228,8,125,102,1,44648,0.092
2026-04-30,atl-03,216,12,118,97,1,41856,0.101
2026-05-01,atl-03,207,8,113,93,1,44733,0.085
2026-05-02,atl-03,222,13,122,99,1,37078,0.131
2026-05-04,atl-03,217,4,119,97,1,39098,0.092
2026-05-05,atl-03,211,7,116,94,1,39269,0.119
2026-05-06,atl-03,221,12,121,99,1,44006,0.147
2026-05-07,atl-03,222,8,122,99,1,39973,0.095
2026-05-08,atl-03,207,11,113,93,1,41377,0.094
2026-05-09,atl-03,223,8,122,100,1,46610,0.134
2026-05-11,atl-03,223,5,122,100,1,41676,0.102
2026-05-12,atl-03,219,11,120,98,1,42779,0.093
2026-05-13,atl-03,216,10,118,97,1,38211,0.115
2026-05-14,atl-03,223,8,122,100,1,38825,0.082
2026-05-15,atl-03,222,11,122,99,1,44634,0.083
2026-05-16,atl-03,220,8,121,99,0,40203,0.143
2026-05-18,atl-03,211,11,116,94,1,38877,0.108
