date,facility_id,headcount_total,headcount_new,headcount_shift1,headcount_shift2,headcount_shift3,inbound_units,order_mix_complex
2026-03-14,ral-02,204,7,112,91,1,41022,0.093
2026-03-16,ral-02,197,11,108,88,1,29150,0.127
2026-03-17,ral-02,202,8,111,90,1,39499,0.094
2026-03-18,ral-02,201,7,110,90,1,39141,0.086
2026-03-19,ral-02,202,6,111,90,1,36685,0.069
2026-03-20,ral-02,198,5,108,89,1,38618,0.087
2026-03-21,ral-02,208,6,114,93,1,40535,0.112
2026-03-23,ral-02,206,3,113,92,1,40191,0.09
2026-03-24,ral-02,205,9,112,92,1,36301,0.119
2026-03-25,ral-02,197,9,108,88,1,32657,0.115
2026-03-26,ral-02,200,5,110,90,0,36863,0.088
2026-03-27,ral-02,208,7,114,93,1,39542,0.101
2026-03-28,ral-02,194,5,106,87,1,31429,0.119
2026-03-30,ral-02,192,10,105,86,1,36673,0.077
2026-03-31,ral-02,192,9,105,86,1,39743,0.13
2026-04-01,ral-02,204,6,112,91,1,37792,0.033
2026-04-02,ral-02,200,6,110,90,0,40735,0.151
2026-04-03,ral-02,198,6,108,89,1,41637,0.092
2026-04-04,ral-02,205,9,112,92,1,44520,0.12
2026-04-06,ral-02,198,8,108,89,1,29874,0.083
2026-04-07,ral-02,201,7,110,90,1,33387,0.094
2026-04-08,ral-02,199,5,109,89,1,39631,0.095
2026-04-09,ral-02,194,7,106,87,1,38602,0.046
2026-04-10,ral-02,206,9,113,92,1,39701,0.152
2026-04-11,ral-02,194,7,106,87,1,40872,0.066
2026-04-13,ral-02,200,6,110,90,0,31483,0.134
2026-04-14,ral-02,199,8,109,89,1,37767,0.11
2026-04-15,ral-02,205,7,112,92,1,37002,0.117
2026-04-16,ral-02,200,10,110,90,0,34894,0.127
2026-04-17,ral-02,197,9,108,88,1,39620,0.136
2026-04-18,ral-02,200,8,110,90,0,42831,0.114
2026-04-20,ral-02,203,9,111,91,1,31343,0.126
2026-04-21,ral-02,204,8,112,91,1,31932,0.111
2026-04-22,ral-02,207,6,113,93,1,42928,0.081
2026-04-23,ral-02,196,7,107,88,1,38902,0.121
2026-04-24,ral-02,201,10,110,90,1,33408,0.101
2026-04-25,ral-02,204,10,112,91,1,40822,0.139
2026-04-27,ral-02,206,11,113,92,1,37143,0.123
2026-04-28,ral-02,191,7,105,85,1,35516,0.143
2026-04-29,ral-02,205,7,112,92,1,36697,0.113
2026-04-30,ral-02,196,4,107,88,1,38558,0.1
2026-05-01,ral-02,195,6,107,87,1,35984,0.096
2026-05-02,ral-02,201,8,110,90,1,41028,0.09
2026-05-04,ral-02,193,9,106,86,1,33251,0.11
2026-05-05,ral-02,211,6,116,94,1,39202,0.117
2026-05-06,ral-02,209,6,114,94,1,36980,0.152
2026-05-07,ral-02,210,9,115,94,1,36226,0.098
2026-05-08,ral-02,201,7,110,90,1,38852,0.114
2026-05-09,ral-02,207,8,113,93,1,29977,0.116
2026-05-11,ral-02,195,6,107,87,1,34390,0.097
2026-05-12,ral-02,205,5,112,92,1,37284,0.096
2026-05-13,ral-02,208,11,114,93,1,34664,0.102
2026-05-14,ral-02,195,8,107,87,1,40298,0.095
2026-05-15,ral-02,206,8,113,92,1,41989,0.092
2026-05-16,ral-02,205,9,112,92,1,37461,0.109
2026-05-18,ral-02,201,5,110,90,1,38534,0.118
