date,facility_id,headcount_total,headcount_new,headcount_shift1,headcount_shift2,headcount_shift3,inbound_units,order_mix_complex
2026-04-13,chr-03,318,22,143,111,64,18660,0.276
2026-04-14,chr-03,317,22,142,110,65,20025,0.288
2026-04-15,chr-03,335,26,150,117,68,20501,0.338
2026-04-16,chr-03,323,27,145,113,65,21952,0.319
2026-04-17,chr-03,335,26,150,117,68,21815,0.276
2026-04-18,chr-03,309,21,139,108,62,20424,0.286
2026-04-20,chr-03,337,27,151,117,69,19343,0.267
2026-04-21,chr-03,316,19,142,110,64,19817,0.281
2026-04-22,chr-03,334,24,150,116,68,22486,0.306
2026-04-23,chr-03,334,22,150,116,68,20723,0.301
2026-04-24,chr-03,340,27,153,118,69,18512,0.298
2026-04-25,chr-03,329,22,148,115,66,22927,0.329
2026-04-27,chr-03,327,24,147,114,66,20468,0.268
2026-04-28,chr-03,330,25,148,115,67,22350,0.297
2026-04-29,chr-03,320,23,144,112,64,20066,0.289
2026-04-30,chr-03,319,16,143,111,65,22820,0.295
2026-05-01,chr-03,340,26,153,118,69,23207,0.299
2026-05-02,chr-03,323,23,145,113,65,22367,0.294
2026-05-04,chr-03,345,20,155,120,70,20426,0.31
2026-05-05,chr-03,334,18,150,116,68,18706,0.256
2026-05-06,chr-03,346,22,155,121,70,20072,0.275
2026-05-07,chr-03,350,17,157,122,71,22136,0.301
2026-05-08,chr-03,323,22,145,113,65,18072,0.285
2026-05-09,chr-03,326,20,146,114,66,20174,0.253
2026-05-11,chr-03,333,14,149,116,68,20373,0.29
2026-05-12,chr-03,342,27,153,119,70,19602,0.272
2026-05-13,chr-03,324,24,145,113,66,22723,0.304
2026-05-14,chr-03,336,28,151,117,68,20989,0.257
2026-05-15,chr-03,318,19,143,111,64,21503,0.291
2026-05-16,chr-03,310,29,139,108,63,23342,0.296
2026-05-18,chr-03,333,23,149,116,68,24189,0.254
