date,facility_id,headcount_total,headcount_new,headcount_shift1,headcount_shift2,headcount_shift3,inbound_units,order_mix_complex
2026-03-11,dal-02,402,41,180,140,82,31107,0.29
2026-03-12,dal-02,422,29,189,147,86,29486,0.312
2026-03-13,dal-02,406,45,182,142,82,24372,0.279
2026-03-14,dal-02,420,32,189,147,84,27649,0.354
2026-03-16,dal-02,413,32,185,144,84,31319,0.342
2026-03-17,dal-02,404,28,181,141,82,31679,0.289
2026-03-18,dal-02,417,35,187,145,85,28102,0.302
2026-03-19,dal-02,426,43,191,149,86,26759,0.313
2026-03-20,dal-02,419,37,188,146,85,26221,0.315
2026-03-21,dal-02,420,36,189,147,84,28761,0.272
2026-03-23,dal-02,427,35,192,149,86,27695,0.283
2026-03-24,dal-02,409,28,184,143,82,26331,0.257
2026-03-25,dal-02,413,27,185,144,84,25973,0.316
2026-03-26,dal-02,411,32,184,143,84,26992,0.33
2026-03-27,dal-02,403,23,181,141,81,26773,0.28
2026-03-28,dal-02,422,28,189,147,86,30437,0.309
2026-03-30,dal-02,411,31,184,143,84,25880,0.313
2026-03-31,dal-02,421,25,189,147,85,28663,0.296
2026-04-01,dal-02,417,21,187,145,85,23031,0.322
2026-04-02,dal-02,402,14,180,140,82,29581,0.304
2026-04-03,dal-02,427,24,192,149,86,28278,0.28
2026-04-04,dal-02,413,32,185,144,84,33235,0.261
2026-04-06,dal-02,429,22,193,150,86,28380,0.28
2026-04-07,dal-02,425,25,191,148,86,30832,0.3
2026-04-08,dal-02,412,17,185,144,83,26347,0.316
2026-04-09,dal-02,419,21,188,146,85,27677,0.327
2026-04-10,dal-02,422,24,189,147,86,28238,0.301
2026-04-11,dal-02,408,23,183,142,83,27855,0.275
2026-04-13,dal-02,403,30,181,141,81,31932,0.296
2026-04-14,dal-02,439,19,197,153,89,26954,0.333
2026-04-15,dal-02,426,25,191,149,86,27947,0.3
2026-04-16,dal-02,424,27,190,148,86,22347,0.334
2026-04-17,dal-02,433,29,194,151,88,28391,0.331
2026-04-18,dal-02,404,19,181,141,82,29811,0.309
2026-04-20,dal-02,420,18,189,147,84,23252,0.26
2026-04-21,dal-02,409,21,184,143,82,24230,0.313
2026-04-22,dal-02,435,28,195,152,88,24854,0.249
2026-04-23,dal-02,406,22,182,142,82,25759,0.291
2026-04-24,dal-02,410,29,184,143,83,29770,0.284
2026-04-25,dal-02,422,23,189,147,86,25350,0.271
2026-04-27,dal-02,400,26,180,140,80,22826,0.339
2026-04-28,dal-02,407,22,183,142,82,24491,0.278
2026-04-29,dal-02,413,23,185,144,84,28744,0.348
2026-04-30,dal-02,426,28,191,149,86,29898,0.321
2026-05-01,dal-02,399,25,179,139,81,26056,0.284
2026-05-02,dal-02,418,34,188,146,84,25889,0.279
2026-05-04,dal-02,431,19,193,150,88,29424,0.282
2026-05-05,dal-02,441,27,198,154,89,29610,0.304
2026-05-06,dal-02,424,26,190,148,86,29091,0.354
2026-05-07,dal-02,421,23,189,147,85,27033,0.303
2026-05-08,dal-02,442,23,198,154,90,28316,0.319
2026-05-09,dal-02,419,24,188,146,85,23632,0.232
2026-05-11,dal-02,404,28,181,141,82,24945,0.298
2026-05-12,dal-02,409,31,184,143,82,25986,0.33
2026-05-13,dal-02,429,24,193,150,86,26378,0.346
2026-05-14,dal-02,435,26,195,152,88,26424,0.289
2026-05-15,dal-02,420,31,189,147,84,27493,0.289
2026-05-16,dal-02,404,25,181,141,82,32849,0.296
2026-05-18,dal-02,424,28,190,148,86,25185,0.347
